country,substation_id,action,destination,reason
turkey,TR-TR-3355,remove,SY,containing state SY has no fleet in this cohort
uk,UK_5000021803,reassign,ireland,new to ireland
uk,UK_osm_way_1051711001,remove,ireland,duplicate of ireland IE_100853 at 0.00 m
uk,UK_osm_way_1053165851,remove,ireland,duplicate of ireland IE_100129 at 0.00 m
uk,UK_osm_way_1234355853,remove,ireland,duplicate of ireland IE_100133 at 0.00 m
uk,UK_osm_way_1239669668,remove,ireland,duplicate of ireland IE_100238 at 0.00 m
uk,UK_osm_way_183084855,remove,ireland,duplicate of ireland IE_100840 at 0.00 m
uk,UK_osm_way_183986059,remove,ireland,duplicate of ireland IE_100180 at 0.00 m
uk,UK_osm_way_199125367,remove,ireland,duplicate of ireland IE_100108 at 0.00 m
uk,UK_osm_way_445416004,remove,ireland,duplicate of ireland IE_100116 at 0.00 m
uk,UK_osm_way_489568107,remove,ireland,duplicate of ireland IE_100119 at 0.00 m
us,120000000241,remove,canada,duplicate of canada CA_819675577 at 0.42 m
us,120000001025,remove,canada,duplicate of canada CA_66782544 at 0.45 m
us,120000001206,remove,canada,duplicate of canada CA_77025816 at 0.22 m
us,120000001208,reassign,canada,new to canada
us,120000001522,remove,canada,duplicate of canada CA_92196030 at 0.45 m
us,120000001523,remove,canada,duplicate of canada CA_92197103 at 0.33 m
us,120000001875,remove,canada,duplicate of canada CA_105427348 at 0.47 m
us,120000001983,reassign,canada,new to canada
us,120000002169,remove,canada,duplicate of canada CA_136598751 at 0.08 m
us,120000002821,remove,canada,duplicate of canada CA_151674562 at 0.24 m
us,120000002860,reassign,canada,new to canada
us,120000002861,reassign,canada,new to canada
us,120000002967,remove,canada,duplicate of canada CA_167518760 at 0.33 m
us,120000002988,remove,canada,duplicate of canada CA_167882585 at 0.64 m
us,120000003174,remove,canada,duplicate of canada CA_176413924 at 0.47 m
us,120000004042,remove,canada,duplicate of canada CA_273634028 at 0.08 m
us,120000004125,remove,canada,duplicate of canada CA_288050250 at 0.41 m
us,120000004189,remove,canada,duplicate of canada CA_299575732 at 0.47 m
us,120000004309,remove,canada,duplicate of canada CA_321930381 at 0.45 m
us,120000004352,remove,canada,duplicate of canada CA_326259233 at 0.45 m
us,120000004380,remove,canada,duplicate of canada CA_330592637 at 0.45 m
us,120000004866,remove,canada,duplicate of canada CA_409755306 at 0.47 m
us,120000004971,remove,canada,duplicate of canada CA_434814779 at 0.32 m
us,120000005194,remove,canada,duplicate of canada CA_480542158 at 0.41 m
us,120000005453,remove,canada,duplicate of canada CA_542998846 at 0.45 m
us,120000005488,remove,canada,duplicate of canada CA_549197732 at 0.37 m
us,120000005497,remove,canada,duplicate of canada CA_549203007 at 0.34 m
us,120000005501,remove,canada,duplicate of canada CA_549203011 at 0.37 m
us,120000005504,remove,canada,duplicate of canada CA_549203014 at 0.24 m
us,120000005505,remove,canada,duplicate of canada CA_549203015 at 0.34 m
us,120000005506,remove,canada,duplicate of canada CA_549203016 at 0.22 m
us,120000005507,remove,canada,duplicate of canada CA_549203017 at 0.24 m
us,120000005510,remove,canada,duplicate of canada CA_549203021 at 0.34 m
us,120000005832,remove,canada,duplicate of canada CA_637217245 at 0.33 m
us,120000005854,remove,canada,duplicate of canada CA_640017066 at 0.39 m
us,120000005877,remove,canada,duplicate of canada CA_646669635 at 0.26 m
us,120000006050,remove,canada,duplicate of canada CA_677119035 at 0.26 m
us,120000006051,remove,canada,duplicate of canada CA_677137289 at 0.39 m
us,120000006060,remove,canada,duplicate of canada CA_680211619 at 0.47 m
us,120000006061,remove,canada,duplicate of canada CA_680252727 at 0.50 m
us,120000006062,remove,canada,duplicate of canada CA_680403049 at 0.50 m
us,120000006063,remove,canada,duplicate of canada CA_680470261 at 0.46 m
us,120000006070,remove,canada,duplicate of canada CA_682313152 at 0.46 m
us,120000006079,remove,canada,duplicate of canada CA_682791801 at 0.24 m
us,120000006133,remove,canada,duplicate of canada CA_689403376 at 0.22 m
us,120000006266,remove,canada,duplicate of canada CA_720943178 at 0.45 m
us,120000006551,remove,canada,duplicate of canada CA_779461955 at 0.46 m
us,120000006552,remove,canada,duplicate of canada CA_780735477 at 0.52 m
us,120000006698,reassign,canada,new to canada
us,120000006945,remove,canada,duplicate of canada CA_842263582 at 0.37 m
us,120000006946,remove,canada,duplicate of canada CA_842268967 at 0.41 m
us,120000006950,remove,canada,duplicate of canada CA_842370656 at 0.22 m
us,120000006952,remove,canada,duplicate of canada CA_842427845 at 0.33 m
us,120000006955,remove,canada,duplicate of canada CA_842427857 at 0.50 m
us,120000006978,remove,canada,duplicate of canada CA_842899642 at 0.39 m
us,120000006981,remove,canada,duplicate of canada CA_842913747 at 0.46 m
us,120000007038,remove,canada,duplicate of canada CA_845494560 at 0.45 m
us,120000007068,remove,canada,duplicate of canada CA_846757422 at 0.00 m
